indicator,Unit,Date,Value,Date_clean,Year,Quarter
Value (N'Billion),Billion naira,2016M11,1054.79,2016-11-01,2016,4
Value (N'Billion),Billion naira,2016M12,1286.59,2016-12-01,2016,4
Total Private Sector Credit,million naira,2016Q1,12882296.38,2016-01-01,2016,1
Total Private Sector Credit,million naira,2016Q2,15144037.09,2016-04-01,2016,2
Total Private Sector Credit,million naira,2016Q3,15787665.63,2016-07-01,2016,3
Total Private Sector Credit,million naira,2016Q4,15750048.51,2016-10-01,2016,4
Agriculture,million naira,2016Q1,485633.7,2016-01-01,2016,1
Agriculture,million naira,2016Q2,480639.2,2016-04-01,2016,2
Agriculture,million naira,2016Q3,491281.2,2016-07-01,2016,3
Agriculture,million naira,2016Q4,525945.2,2016-10-01,2016,4
Industry,million naira,2016Q1,4469225.7,2016-01-01,2016,1
Industry,million naira,2016Q2,5887747.3,2016-04-01,2016,2
Industry,million naira,2016Q3,6233423.4,2016-07-01,2016,3
Industry,million naira,2016Q4,6257223.2,2016-10-01,2016,4
Minning & Quarrying,million naira,2016Q1,11336.5,2016-01-01,2016,1
Minning & Quarrying,million naira,2016Q2,16328.4,2016-04-01,2016,2
Minning & Quarrying,million naira,2016Q3,27282.4,2016-07-01,2016,3
Minning & Quarrying,million naira,2016Q4,21283.5,2016-10-01,2016,4
Manufacturing,million naira,2016Q1,1862589.1,2016-01-01,2016,1
Manufacturing,million naira,2016Q2,2058036.9,2016-04-01,2016,2
Manufacturing,million naira,2016Q3,2130441.3,2016-07-01,2016,3
Manufacturing,million naira,2016Q4,2215741.1,2016-10-01,2016,4
Oil & Gas,million naira,2016Q1,2237712.1,2016-01-01,2016,1
Oil & Gas,million naira,2016Q2,3366153.6,2016-04-01,2016,2
Oil & Gas,million naira,2016Q3,3647251.1,2016-07-01,2016,3
Oil & Gas,million naira,2016Q4,3587904.8,2016-10-01,2016,4
"of which DownStream, Natural Gas and Crude Oil Refining",million naira,2016Q1,2237712.1,2016-01-01,2016,1
"of which DownStream, Natural Gas and Crude Oil Refining",million naira,2016Q2,3366153.6,2016-04-01,2016,2
"of which DownStream, Natural Gas and Crude Oil Refining",million naira,2016Q3,3647251.1,2016-07-01,2016,3
"of which DownStream, Natural Gas and Crude Oil Refining",million naira,2016Q4,3587904.8,2016-10-01,2016,4
Power and Energy,million naira,2016Q1,357588.0,2016-01-01,2016,1
Power and Energy,million naira,2016Q2,447228.4,2016-04-01,2016,2
Power and Energy,million naira,2016Q3,428448.6,2016-07-01,2016,3
Power and Energy,million naira,2016Q4,432293.8,2016-10-01,2016,4
of which IPP and Power Generation,million naira,2016Q1,357588.0,2016-01-01,2016,1
of which IPP and Power Generation,million naira,2016Q2,447228.4,2016-04-01,2016,2
of which IPP and Power Generation,million naira,2016Q3,428448.6,2016-07-01,2016,3
of which IPP and Power Generation,million naira,2016Q4,432293.8,2016-10-01,2016,4
Construction,million naira,2016Q1,519036.2,2016-01-01,2016,1
Construction,million naira,2016Q2,607390.3,2016-04-01,2016,2
Construction,million naira,2016Q3,631405.5,2016-07-01,2016,3
Construction,million naira,2016Q4,631092.0,2016-10-01,2016,4
Trade/General Commerce,million naira,2016Q1,950542.6,2016-01-01,2016,1
Trade/General Commerce,million naira,2016Q2,1020014.6,2016-04-01,2016,2
Trade/General Commerce,million naira,2016Q3,973006.6,2016-07-01,2016,3
Trade/General Commerce,million naira,2016Q4,984899.2,2016-10-01,2016,4
Government,million naira,2016Q1,1230301.3,2016-01-01,2016,1
Government,million naira,2016Q2,1384963.3,2016-04-01,2016,2
Government,million naira,2016Q3,1366684.4,2016-07-01,2016,3
Government,million naira,2016Q4,1361853.1,2016-10-01,2016,4
Services,million naira,2016Q1,5227556.88,2016-01-01,2016,1
Services,million naira,2016Q2,5763282.39,2016-04-01,2016,2
Services,million naira,2016Q3,6091864.53,2016-07-01,2016,3
Services,million naira,2016Q4,5989035.81,2016-10-01,2016,4
Real Estate,million naira,2016Q1,663932.91,2016-01-01,2016,1
Real Estate,million naira,2016Q2,716722.07,2016-04-01,2016,2
Real Estate,million naira,2016Q3,760234.27,2016-07-01,2016,3
Real Estate,million naira,2016Q4,791475.05,2016-10-01,2016,4
"Finance, Insurance and Capital Market",million naira,2016Q1,763054.67,2016-01-01,2016,1
"Finance, Insurance and Capital Market",million naira,2016Q2,856276.91,2016-04-01,2016,2
"Finance, Insurance and Capital Market",million naira,2016Q3,933341.93,2016-07-01,2016,3
"Finance, Insurance and Capital Market",million naira,2016Q4,937424.49,2016-10-01,2016,4
Education,million naira,2016Q1,83303.8,2016-01-01,2016,1
Education,million naira,2016Q2,87762.11,2016-04-01,2016,2
Education,million naira,2016Q3,89311.85,2016-07-01,2016,3
Education,million naira,2016Q4,87221.21,2016-10-01,2016,4
Oil & Gas,million naira,2016Q1,1032842.64,2016-01-01,2016,1
Oil & Gas,million naira,2016Q2,1136996.33,2016-04-01,2016,2
Oil & Gas,million naira,2016Q3,1200353.88,2016-07-01,2016,3
Oil & Gas,million naira,2016Q4,1267746.07,2016-10-01,2016,4
of which UpStream and Oil & Gas Services,million naira,2016Q1,1032842.6,2016-01-01,2016,1
of which UpStream and Oil & Gas Services,million naira,2016Q2,1136996.3,2016-04-01,2016,2
of which UpStream and Oil & Gas Services,million naira,2016Q3,1200353.9,2016-07-01,2016,3
of which UpStream and Oil & Gas Services,million naira,2016Q4,1267746.1,2016-10-01,2016,4
Power and Energy,million naira,2016Q1,169972.39,2016-01-01,2016,1
Power and Energy,million naira,2016Q2,237997.46,2016-04-01,2016,2
Power and Energy,million naira,2016Q3,301363.59,2016-07-01,2016,3
Power and Energy,million naira,2016Q4,293993.48,2016-10-01,2016,4
of which Power Transmission and Distribution,million naira,2016Q1,169972.39,2016-01-01,2016,1
of which Power Transmission and Distribution,million naira,2016Q2,237997.46,2016-04-01,2016,2
of which Power Transmission and Distribution,million naira,2016Q3,301363.59,2016-07-01,2016,3
of which Power Transmission and Distribution,million naira,2016Q4,293993.48,2016-10-01,2016,4
Others,million naira,2016Q1,2514450.47,2016-01-01,2016,1
Others,million naira,2016Q2,2727527.51,2016-04-01,2016,2
Others,million naira,2016Q3,2807259.01,2016-07-01,2016,3
Others,million naira,2016Q4,2611175.51,2016-10-01,2016,4
of which : General,million naira,2016Q1,1295464.15,2016-01-01,2016,1
of which : General,million naira,2016Q2,1326067.15,2016-04-01,2016,2
of which : General,million naira,2016Q3,1390094.02,2016-07-01,2016,3
of which : General,million naira,2016Q4,1314483.44,2016-10-01,2016,4
of which : Information & Communication,million naira,2016Q1,829440.86,2016-01-01,2016,1
of which : Information & Communication,million naira,2016Q2,944571.11,2016-04-01,2016,2
of which : Information & Communication,million naira,2016Q3,957940.65,2016-07-01,2016,3
of which : Information & Communication,million naira,2016Q4,845936.38,2016-10-01,2016,4
of which : Transportation & Storage,million naira,2016Q1,389545.46,2016-01-01,2016,1
of which : Transportation & Storage,million naira,2016Q2,456889.25,2016-04-01,2016,2
of which : Transportation & Storage,million naira,2016Q3,459224.34,2016-07-01,2016,3
of which : Transportation & Storage,million naira,2016Q4,450755.69,2016-10-01,2016,4
Total,US dollar,2016Q1,710966584.36,2016-01-01,2016,1
Total,US dollar,2016Q2,1042169923.14,2016-04-01,2016,2
Total,US dollar,2016Q3,1822115532.46,2016-07-01,2016,3
Total,US dollar,2016Q4,1559202325.06,2016-10-01,2016,4
Foreign Direct Investment - Equity,US dollar,2016Q1,173729576.93,2016-01-01,2016,1
Foreign Direct Investment - Equity,US dollar,2016Q2,184206657.82,2016-04-01,2016,2
Foreign Direct Investment - Equity,US dollar,2016Q3,340639794.75,2016-07-01,2016,3
Foreign Direct Investment - Equity,US dollar,2016Q4,344566742.67,2016-10-01,2016,4
Foreign Direct Investment - Other capital,US dollar,2016Q1,726183.52,2016-01-01,2016,1
Foreign Direct Investment - Other capital,US dollar,2016Q2,83102.71,2016-04-01,2016,2
Foreign Direct Investment - Other capital,US dollar,2016Q4,65550.0,2016-10-01,2016,4
Portfolio Investment - Equity,US dollar,2016Q1,201686057.76,2016-01-01,2016,1
Portfolio Investment - Equity,US dollar,2016Q2,279805187.35,2016-04-01,2016,2
Portfolio Investment - Equity,US dollar,2016Q3,201117566.41,2016-07-01,2016,3
Portfolio Investment - Equity,US dollar,2016Q4,176444822.22,2016-10-01,2016,4
Portfolio Investment - Bonds,US dollar,2016Q1,1499990.0,2016-01-01,2016,1
Portfolio Investment - Bonds,US dollar,2016Q3,368999999.96,2016-07-01,2016,3
Portfolio Investment - Bonds,US dollar,2016Q4,25399970.0,2016-10-01,2016,4
Portfolio Investment - Money market instruments,US dollar,2016Q1,67846626.13,2016-01-01,2016,1
Portfolio Investment - Money market instruments,US dollar,2016Q2,57500990.0,2016-04-01,2016,2
Portfolio Investment - Money market instruments,US dollar,2016Q3,350198312.89,2016-07-01,2016,3
Portfolio Investment - Money market instruments,US dollar,2016Q4,82371927.9,2016-10-01,2016,4
Other Investments - Trade credits,US dollar,2016Q4,160000.0,2016-10-01,2016,4
Other Investments - Loans,US dollar,2016Q1,241813434.46,2016-01-01,2016,1
Other Investments - Loans,US dollar,2016Q2,520190363.45,2016-04-01,2016,2
Other Investments - Loans,US dollar,2016Q3,561100156.96,2016-07-01,2016,3
Other Investments - Loans,US dollar,2016Q4,927333011.33,2016-10-01,2016,4
Other Investments - Currency deposits,US dollar,2016Q4,27520.0,2016-10-01,2016,4
Other Investments - Other claims,US dollar,2016Q1,23664715.56,2016-01-01,2016,1
Other Investments - Other claims,US dollar,2016Q2,383621.81,2016-04-01,2016,2
Other Investments - Other claims,US dollar,2016Q3,59701.49,2016-07-01,2016,3
Other Investments - Other claims,US dollar,2016Q4,2832780.94,2016-10-01,2016,4
Total Banks,Number,2016Q1,81122.0,2016-01-01,2016,1
Total Banks,Number,2016Q2,78563.0,2016-04-01,2016,2
Total Banks,Number,2016Q3,82540.0,2016-07-01,2016,3
Total Banks,Number,2016Q4,76812.0,2016-10-01,2016,4
Executive Staff,Number,2016Q1,176.0,2016-01-01,2016,1
Executive Staff,Number,2016Q2,175.0,2016-04-01,2016,2
Executive Staff,Number,2016Q3,183.0,2016-07-01,2016,3
Executive Staff,Number,2016Q4,177.0,2016-10-01,2016,4
Senior Staff,Number,2016Q1,21099.0,2016-01-01,2016,1
Senior Staff,Number,2016Q2,20994.0,2016-04-01,2016,2
Senior Staff,Number,2016Q3,21314.0,2016-07-01,2016,3
Senior Staff,Number,2016Q4,20358.0,2016-10-01,2016,4
Junior Staff,Number,2016Q1,37271.0,2016-01-01,2016,1
Junior Staff,Number,2016Q2,35961.0,2016-04-01,2016,2
Junior Staff,Number,2016Q3,37822.0,2016-07-01,2016,3
Junior Staff,Number,2016Q4,35062.0,2016-10-01,2016,4
Contract Staff,Number,2016Q1,22576.0,2016-01-01,2016,1
Contract Staff,Number,2016Q2,21433.0,2016-04-01,2016,2
Contract Staff,Number,2016Q3,23221.0,2016-07-01,2016,3
Contract Staff,Number,2016Q4,21215.0,2016-10-01,2016,4
Merchant Banks,Number,2016Q1,293.0,2016-01-01,2016,1
Merchant Banks,Number,2016Q2,313.0,2016-04-01,2016,2
Merchant Banks,Number,2016Q3,367.0,2016-07-01,2016,3
Merchant Banks,Number,2016Q4,368.0,2016-10-01,2016,4
Executive Staff,Number,2016Q1,6.0,2016-01-01,2016,1
Executive Staff,Number,2016Q2,6.0,2016-04-01,2016,2
Executive Staff,Number,2016Q3,12.0,2016-07-01,2016,3
Executive Staff,Number,2016Q4,14.0,2016-10-01,2016,4
Senior Staff,Number,2016Q1,129.0,2016-01-01,2016,1
Senior Staff,Number,2016Q2,131.0,2016-04-01,2016,2
Senior Staff,Number,2016Q3,147.0,2016-07-01,2016,3
Senior Staff,Number,2016Q4,144.0,2016-10-01,2016,4
Junior Staff,Number,2016Q1,136.0,2016-01-01,2016,1
Junior Staff,Number,2016Q2,146.0,2016-04-01,2016,2
Junior Staff,Number,2016Q3,178.0,2016-07-01,2016,3
Junior Staff,Number,2016Q4,180.0,2016-10-01,2016,4
Contract Staff,Number,2016Q1,22.0,2016-01-01,2016,1
Contract Staff,Number,2016Q2,30.0,2016-04-01,2016,2
Contract Staff,Number,2016Q3,30.0,2016-07-01,2016,3
Contract Staff,Number,2016Q4,30.0,2016-10-01,2016,4
Commercial Banks + Non Interest Banks,Number,2016Q1,80829.0,2016-01-01,2016,1
Commercial Banks + Non Interest Banks,Number,2016Q2,78250.0,2016-04-01,2016,2
Commercial Banks + Non Interest Banks,Number,2016Q3,82173.0,2016-07-01,2016,3
Commercial Banks + Non Interest Banks,Number,2016Q4,76444.0,2016-10-01,2016,4
Executive Staff,Number,2016Q1,170.0,2016-01-01,2016,1
Executive Staff,Number,2016Q2,169.0,2016-04-01,2016,2
Executive Staff,Number,2016Q3,171.0,2016-07-01,2016,3
Executive Staff,Number,2016Q4,163.0,2016-10-01,2016,4
Senior Staff,Number,2016Q1,20970.0,2016-01-01,2016,1
Senior Staff,Number,2016Q2,20863.0,2016-04-01,2016,2
Senior Staff,Number,2016Q3,21167.0,2016-07-01,2016,3
Senior Staff,Number,2016Q4,20214.0,2016-10-01,2016,4
Junior Staff,Number,2016Q1,37135.0,2016-01-01,2016,1
Junior Staff,Number,2016Q2,35815.0,2016-04-01,2016,2
Junior Staff,Number,2016Q3,37644.0,2016-07-01,2016,3
Junior Staff,Number,2016Q4,34882.0,2016-10-01,2016,4
Contract Staff,Number,2016Q1,22554.0,2016-01-01,2016,1
Contract Staff,Number,2016Q2,21403.0,2016-04-01,2016,2
Contract Staff,Number,2016Q3,23191.0,2016-07-01,2016,3
Contract Staff,Number,2016Q4,21185.0,2016-10-01,2016,4
